Title;Category;Rating;Price;Duration;Skills;Number of viewers;Instructors;Language;Site;Course Type;Courses
Machine Learning Specialization;Data Science;4,9;0,0;24,0;Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, ;10;Andrew Ng ,Eddy Shyu ,Aarti Bagul ,Geoff Ladwig ,;English;Coursera;Specialization;Unkown
Introduction to Data Science Specialization;Data Science;4,7;0,0;40,0;Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ;11;Rav Ahuja ,Alex Aklson ,Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Polong Lin ,Hima Vasudevan ,;English;Coursera;Specialization;Unkown
Data Science Fundamentals with Python and SQL Specialization;Data Science;4,6;0,0;56,0;Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, ;2;Aije Egwaikhide ,Svetlana Levitan ,Romeo Kienzler ,Joseph Santarcangelo ,Azim Hirjani ,Murtaza Haider ,Rav Ahuja ,Hima Vasudevan ,;English;Coursera;Specialization;Unkown
Key Technologies for Business Specialization;Business;4,7;0,0;24,0;Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Cloud Native, Devops, Iaas PaaS Saas, Hybrid Multicloud, Deep Learning, Jobs, Machine Learning, ;1;Rav Ahuja ,Alex Aklson ,;English;Coursera;Specialization;Unkown
Deep Learning Specialization;Data Science;4,9;0,0;40,0;Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, ;129;Andrew Ng ,Kian Katanforoosh ,Younes Bensouda Mourri ,;English;Coursera;Specialization;Unkown
IBM & Darden Digital Strategy Specialization;Data Science;4,8;0,0;56,0;Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness, ;262;Rav Ahuja ,Jared Harris ,Michael Lenox ,Rajkumar Venkatesan ,Yael Grushka-Cockayne  ,;English;Coursera;Specialization;Unkown
IBM AI Foundations for Business Specialization;Data Science;4,7;0,0;16,0;Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Big Data, Data Mining, Management, Analytics, ;1;Rav Ahuja ,Alex Aklson ,Mark J Grover ,Ray Lopez, Ph.D. ,;English;Coursera;Specialization;Unkown
Data Analysis and Visualization Foundations Specialization;Data Science;4,8;0,0;32,0;Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ;2;Rav Ahuja ,Sandip Saha Joy ,Steve Ryan ,Kevin McFaul ,Skills Network ,;English;Coursera;Specialization;Unkown
Applied Data Science Specialization;Data Science;4,6;0,0;48,0;Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, ;7;Joseph Santarcangelo ,Azim Hirjani ,Saishruthi Swaminathan ,Yan Luo ,;English;Coursera;Specialization;Unkown
Data Engineering Foundations Specialization;Information Technology;4,7;0,0;40,0;Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, ;922;Rav Ahuja ,Priya Kapoor ,Joseph Santarcangelo ,Ramesh Sannareddy ,Sandip Saha Joy ,Lin Joyner ,Rose Malcolm ,Hima Vasudevan ,;English;Coursera;Specialization;Unkown
IT Fundamentals for Cybersecurity Specialization;Information Technology;4,6;0,0;40,0;Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, ;4;IBM Security Learning Services ,;English;Coursera;Specialization;Unkown
